14,15,14,18,14,15,14,15,14,15,14,12,13,15,14,15
16,17,16,20,16,17,0,1,19,19,19,19,19,19,19,19
19,21,19,21,19,21,2,3,19,19,19,19,19,19,19,19
22,23,22,23,22,23,4,5,9,9,9,9,9,9,9,9
19,21,19,21,19,21,6,7,11,11,11,11,11,11,11,11
19,21,19,21,19,21,19,21,19,21,19,21,19,21,19,21
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23
19,21,19,21,19,21,19,21,19,21,19,21,19,21,19,21
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23
19,21,19,21,19,21,19,21,19,21,19,21,19,21,19,21
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23
19,21,19,21,19,21,19,21,19,21,19,21,19,21,19,21
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23
19,21,19,21,19,21,19,21,19,21,19,21,19,21,19,21
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
